Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ620Б|p-n-p|0,5 Вт|>=200|50|4|400|<=5 (50 В)|30...100* (5 В; 0,2 А)|-|<=2,5|-|<=100*
КТ624А-2|n-p-n|1 Вт|>=450|30|4|1000 (1300*)|<=100 (30 В)|30...180* (0,5 В; 0,3 А)|<=15 (5 В)|<=9|-|<=18
КТ624АМ-2|n-p-n|1 Вт|>=450|30|4|1000 (1300*)|<=100 (30 В)|30...180* (0,5 В; 0,3 А)|<=15 (5 В)|<=9|-|<=18
КТ625А|n-p-n|1 Вт|>=200|40* (5к)|5|1000 (1300*)|<=30 (60 В)|20...200* (1 В; 0,5 А)|<=9 (10 В)|<=2,4|-|<=60
КТ625АМ|n-p-n|1 Вт|>=200|60|5|1000 (1300*)|<=30 (60 В)|20...200* (1 В; 0,5 А)|<=9 (10 В)|<=2,4|-|<=60
КТ625АМ-2|n-p-n|1 Вт|>=200|60|5|1000|<=30 (60 В)|20...200 (1 В; 0,5 А)|<=9 (10 В)|<=1,3|-|<=60
КТ626А|p-n-p|6,5 Вт (60°С)|>=75|45|4|500 (1500*)|<=10 (30 В)|40...260* (2 В; 0,15 А)|<=150 (10 В)|<=2|-|<=500
КТ626Б|p-n-p|6,5 Вт (60°С)|>=75|60|4|500 (1500*)|<=150 (30 В)|30...100* (2 В; 0,15 А)|<=150 (10 В)|<=2|-|<=500
КТ626В|p-n-p|6,5 Вт (60°С)|>=45|80|4|500 (1500*)|<=1 мА (80 В)|15...45* (2 В; 0,15 А)|<=150 (10 В)|<=2|-|<=500
КТ626Г|p-n-p|6,5 Вт (60°С)|>=45|20* (0,1 к)|4|0,5 (1,5*) А|<=150 (20 В)|15...60* (2 В; 0,15 А)|<=150 (10 В)|<=2|-|<=500
КТ626Д|p-n-p|6,5 Вт (60°С)|>=45|20* (0,1 к)|4|0,5 (1,5*) А|<=150 (20 В)|40...250* (2 В; 0,15 А)|<=150 (10 В)|<=2|-|<=500
КТ629А-2|p-n-p|1 Вт (80°С)|>=250|50|4,5|1000|<=5 (50 В)|25...150* (5 В; 0,5 А)|<=25 (10 В)|<=2|-|90*
КТ629Б-2|p-n-p|1 Вт (80°С)|>=250|50|4,5|1000|<=5 (50 В)|25...150* (5 В; 0,2 А)|<=25 (10 В)|<=2|-|-
КТ629БМ-2|p-n-p|1 Вт|>=250|50* (1к)|4,5|1000|<=5 (50 В)|25...150* (1,2 В; 0,5 А)|<=25 (10 В)|<=2|-|90*
КТ630А|n-p-n|0,8 Вт|>=50|120|7|1000 (2000*)|<=1 (90 В)|40...120* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630Б|n-p-n|0,8 Вт|>=50|120|7|1000 (2000*)|<=1 (90 В)|80...240* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630В|n-p-n|0,8 Вт|>=50|150|7|1000 (2000*)|<=1 (90 В)|40...120* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630Г|n-p-n|0,8 Вт|>=50|100|5|1000 (2000*)|<=1 (40 В)|40...120* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630Д|n-p-n|0,8 Вт|>=50|60|5|1000 (2000*)|<=1 (40 В)|80...240* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630Е|n-p-n|0,8 Вт|>=50|60|5|1000 (2000*)|<=1 (40 В)|160...480* (10 В; 150 мА)|<=15 (10 В)|<=2|>=5*|<=500**
КТ630А-5|n-p-n|800|>=50|120|7|1 А (2* А)|<=100 (120 В)|40...120 (10 В; 0,1 А)|<=15 (10 В)|<=3,3|-|-
КТ630Б-5|n-p-n|800|>=50|120|7|1 А (2* А)|<=100 (120 В)|80...240 (10 В; 0,1 А)|<=15 (10 В)|<=3,3|-|-
КТ630В-5|n-p-n|800|>=50|150|7|1 А (2* А)|<=100 (120 В)|40...120 (10 В; 0,1 А)|<=15 (10 В)|<=3,3|-|-
КТ630Г-5|n-p-n|800|>=50|100|5|1 А (2* А)|<=100 (100 В)|40...120 (10 В; 0,1 А)|<=15 (10 В)|<=3,3|-|-
КТ632Б|p-n-p|0,5 Вт (45°С)|>=200|120* (1к)|5|100 (350*)|<=1 (120 В)|>=50 (1 В; 1 мА)|<=5 (20 В)|<=25|-|<=100
КТ632Б-1|p-n-p|350 (40°С)|>=200|120* (1к)|5|100 (350*)|<=1 (120 В)|50...350 (1 В; 1 мА)|<=5 (20 В)|<=25|-|<=100
КТ632В-1|p-n-p|350 (40°С)|>=200|120* (1к)|5|100 (350*)|<=1 (120 В)|150...450 (10 В; 1 мА)|<=5 (20 В)|<=25|-|2000*
КТ633А|n-p-n|1,2 Вт|>=500|30|4,5|200 (500*)|<=10 (30 В)|40...140 (1 В; 10 мА)|<=4,5 (10 В)|<=5|<=6 (20 мГц)|<=30*
КТ633Б|n-p-n|1,2 Вт|>=500|30|4,5|200 (500*)|<=10 (30 В)|20...160 (1 В; 10 мА)|<=4,5 (10 В)|<=5|<=6 (20 мГц)|<=30*
КТ634А-2|n-p-n|1,2 Вт|>=1500|30|3|150 (250*)|<=0,5 мА (30 В)|-|<=2,5 (15 В)|>=l,4** (5 ГГц)|>=0,2** (5 ГГц)|<=2
КТ634Б-2|n-p-n|1,3 Вт|>=1500|30|3|150 (250*)|<=1 мА (30 В)|-|<=3 (15 В)|>=1,4** (5 ГГц)|>=0,45** (5 ГГц)|<=3,5
КТ635А|n-p-n|0,5 Вт|>=200|60|5|1 (1,2*) А|<=30 (60 В)|25...150* (1 В; 0,5 А)|<=15 (10 В)|<=1|-|<=58; <=60**
КТ635Б|n-p-n|0,5 Вт|>=250|60|5|1 (1,2*) А|<=30 (60 В)|20...150* (1 В; 0,5 А)|<=10 (10 В)|<=1|-|<=58; <=60**
КТ637А-2|n-p-n|1,5 Вт|>=1300|30|2,5|200 (300*)|<=0,1 мА (30 В)|30...140* (5 В; 50 мА)|<=4,5 (15 В)|-|>=0,5** (3 ГГц)|<=3
КТ637Б-2|n-p-n|1,5 Вт|>=800|30|2,5|200 (300*)|<=2 мА (30 В)|30...140* (5 В, 50 мА)|<=4,5 (15 В)|-|>=0,25** (3 ГГц)|<=15
КТ638А|n-p-n|500|>=200|110|5|100 (350*)|<=0,1 мА (110 В)|50...350 (1 В; 10 мА)|<=8 (20 В)|<=25|-|<=25 (1* мкс)
КТ639А|p-n-p|1 (12,5*) Вт|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|40...100* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Б|p-n-p|1 (12,5*) Вт|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|63...160* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639В|p-n-p|1 (12,5*) Вт|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|100...250* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Г|p-n-p|1 (12,5*) Вт|>=80|60|5|1,5 А (2* А)|<=0,1 (30 В)|40...100* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Д|p-n-p|1 (12,5*) Вт|>=80|60|5|1,5 А (2* А)|<=0,1 (30 В)|63...160* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Е|p-n-p|1 Вт (35°С)|>=80|100|5|1,5 А (2* А)|<=0,1 (30 В)|40...100* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Ж|p-n-p|1 Вт (35°С)|>=80|100|5|1,5 А (2* А)|<=0,1 (30 В)|60...100* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639И|p-n-p|1 Вт (35°С)|>=80|30|5|1,5 А (2* А)|<=0,1 (30 В)|180...400* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639А-1|p-n-p|500 (30** Вт)|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|40...100 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Б-1|p-n-p|500 (30** Вт)|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|40...160 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639В-1|p-n-p|500 (30** Вт)|>=80|45|5|1,5 А (2* А)|<=0,1 (30 В)|90...160 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Г-1|p-n-p|500 (30** Вт)|>=80|60|5|1,5 А (2* А)|<=0,1 (30 В)|40...100 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Д-1|p-n-p|500 (30** Вт)|>=80|60|5|1,5 А (2* А)|<=0,1 (30 В)|63...160 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639Е-1|p-n-p|500 (30** Вт)|>=80|100*|5|1,5 А (2* А)|<=0,1 (30 В)|40...100 (2 В; 0,15 А)|<=0 (10 В)|<=1|-|<=200*
КТ639Ж-1|p-n-p|500 (30** Вт)|>=80|100*|5|1,5 А (2* А)|<=0,1 (30 В)|63...160 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ639И-1|p-n-p|500 (30** Вт)|>=80|30|5|1,5 А (2* А)|<=0,1 (30 В)|180...400 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|<=200*
КТ640А-2|n-p-n|0,6 Вт (60°С)|>=3000|25|3|60|<=0,5 мА (25 В)|>=15* (5 В; 5 мА)|<=1,3 (15 В)|>=6** (7 ГГц)|>=0,1** (7 ГГц)|0,6
КТ640Б-2|n-p-n|0,6 Вт (60°С)|>=3800|25|3|60|<=0,5 мА (25 В)|>=15* (5 В; 5 мА)|<=1,3 (15 В)|>=6** (7 ГГц)|>=0,1** (7 ГГц)|1
КТ640В-2|n-p-n|0,6 Вт (60°С)|>=3800|25|3|60|<=0,5 мА (25 В)|>=15* (5 В; 5 мА)|<=1,3 (15 В)|>=6** (7 ГГц)|>=0,08** (7 ГГц)|1
КТ642А-2|n-p-n|500|-|20|2|60|<=1 мА (20 В)|-|<=1,1 (15 В)|>=3,5** (8 ГГц)|>=0,1** (8 ГГц)|-
КТ642А-5|n-p-n|500|-|20|2|60|<=1 мА (20 В)|-|<=1,1 (15 В)|>=3,5** (8 ГГц)|>=0,1** (8 ГГц)|-
КТ643А-2|n-p-n|1,1 Вт (50°С)|-|25|3|120|<=1 мА (25 В)|-|<=1,8 (15 В)|-|>=0,48** (7 ГГц)|-
КТ644А|p-n-p|1 (12,5*) Вт|>=200|60|5|0,6 А; 1* А|<=0,1 (50 В)|40...120* (10 В; 0,15 А)|<=8 (10 В)|<=2,7|-|<=180*
КТ644Б|p-n-p|1 (12,5*) Вт|>=200|60|5|0,6 А; 1* А|<=0,1 (50 В)|100...300* (10 В; 0,15 А)|<=8 (10 В)|<=2,7|-|-
КТ644В|p-n-p|1 (12,5*) Вт|>=200|40**|5|0,6 А; 1* А|<=0,1 (50 В)|40...120* (10 В; 0,15 А)|<=8 (10 В)|<=2,7|-|-
КТ644Г|p-n-p|1 (12,5*) Вт|>=200|40**|5|0,6 А; 1* А|<=0,1 (50 В)|100...300* (10 В; 0,15 А)|<=8 (10 В)|<=2,7|-|-
КТ645А|n-p-n|0,5 (1*) Вт|>=200|60|4|0,3 А; 0,6* А|<=10 (60 В)|20...200* (2 В; 0,15 А)|<=5 (10 В)|<=3,3|-|<=120; <=50*
КТ645Б|n-p-n|500|>=200|40|4|300 (600*)|<=10 (40 В)|>=80 (10 В; 2 мА)|<=5 (10 В)|-|-|-
КТ646А|n-p-n|1 (2,5*) Вт|>=200|60|4(5)|1 А; 1,2 * А|<=10 (60 В)|40...200* (5 В; 0,2 А)|<=10 (10 В)|<=1,7|-|<=120; <=60*
КТ646Б|n-p-n|1 Вт|>=200|40|4|1 А; 1,2* А|<=10 (40 В)|150...200* (5 В; 0,2 А)|<=10 (10 В)|<=1,2|-|<=120; <=60*
КТ646В|n-p-n|1 Вт|>=200|40|4|1 А; 1,2* А|<=10 (40 В)|150...300* (5 В; 0,2 А)|<=10 (10 В)|<=0,06|-|<=120; <=60*
КТ647А-2|n-p-n|560|-|18|2|90|<=1 мА (18 В)|-|<=1,5 (15 В)|>=3** (10 ГГц)|0,2** (10 ГГц)|-
КТ647А-5|n-p-n|560|-|18|2|90|<=1 мА (18 В)|-|<=1,5 (15 В)|>=3** (10 ГГц)|0,2** (10 ГГц)|-
КТ648А-2|n-p-n|420|-|18|2|60|<=1 мА (18 В)|-|<=1,5 (10 В)|>=3** (12 ГГц)|0,04** (12 ГГц)|-
КТ648А-5|n-p-n|420|-|18|2|60|<=1 мА (18 В)|-|<=1,5 (10 В)|>=3** (12 ГГц)|>=0,04** (12 ГГц)|-
КТ657А-2|n-p-n|375 (60°C)|>=3 ГГц|12*|2|60|<=1* мА (12 В)|-|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ657Б-2|n-p-n|375 (60°C)|>=3 ГГц|12*|2|60|<=1* мА (12 В)|60...200 (6 В; 30 мА)|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ657В-2|n-p-n|375 (60°C)|>=3 ГГц|12*|2|60|<=1* мА (12 В)|35...70 (6 В; 30 мА)|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ657А-5|n-p-n|375|>=3 ГГц|12*|2|60|<=1* мА (12 В)|-|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ657Б-5|n-p-n|375|>=3 ГГц|12*|2|60|<=1* мА (12 В)|60...200 (6 В; 30 мА)|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ657В-5|n-p-n|375|>=3 ГГц|12*|2|60|<=1* мА (12 В)|35...70 (6 В; 30 мА)|<=1,1 (15 В)|>=8** (2 ГГц)|>=0,05** (2 ГГц)|-
КТ659А|n-p-n|1 Вт|>=300|60|6|1,2 А|<=0,5 мА (60 В)|>=35 (1 В; 0,3 А)|<=10 (10 В)|<=9|-|<=80**
КТ660А|n-p-n|0,5 Вт|>=200|50|5|0,8 А|<=1 (50 В)|110...220* (10 В; 0,2 А)|<=10 (10 В)|<=1|-|-
КТ660Б|n-p-n|0,5 Вт|>=200|30|5|0,8 А|<=1 (30 В)|200...450* (10 В; 0,2 А)|<=10 (10 В)|<=1|-|-
КТ661А|p-n-p|0,4 Вт (1,8* Вт)|>=200|60|5|0,3 А; 0,6* А|<=0,01 мА (50 В)|-|<=8 (10 В)|<=3,2|-|<=150**
КТ662А|p-n-p|0,6 Вт (3* Вт)|>=200|60|5|0,4 А; 0,6* А|<=0,01 мА (50 В)|100...300* (10 В; 0,15 А)|<=8 (10 В)|<=3,2|-|<=200**
КТ664А-9|p-n-p|300 (1* Вт)|>=50|120|5|1 А (1,5* А)|<=10 (100 В)|40...250 (2 В; 0,1 А)|<=25 (5 В)|<=2,3|-|<=700**
КТ664Б-9|p-n-p|300 (1 Вт)|>=50|100|5|1 А (1,5* А)|<=10 (100 В)|40...250 (2 В; 0,1 А)|<=25 (5 В)|<=2,3|-|<=700**
КТ665А-9|n-p-n|300 (1* Вт)|>=50|120|5|1 А (1,5* А)|<=10 (100 В)|40...250 (2 В; 0,15 А)|<=25 (5 В)|<=2|-|-
КТ665Б-9|n-p-n|300 (1* Вт)|>=50|100|5|1 А (1,5* А)|<=10 (100 В)|40...250 (2 В; 0,15 А)|<=25 (5 В)|<=2|-|-
КТ666А-9|n-p-n|300 (1* Вт)|>=60|300|5|20 (50*)|<=0,1 мА (300 В)|>=50 (10 В; 5 мА)|-|<=80|-|-
КТ667А-9|p-n-p|300 (1* Вт)|>=40|300|5|20; 50*|<=0,1 (300 В)|>=50 (10 В; 5 мА)|-|<=80|-|-
КТ668А|p-n-p|0,5 Вт|>=200|50|5|0,1 А|<=15 нА (30 В)|75...140 (5 В; 2 мА)|<=7|<=6,5|<=10(1кГц)|-
КТ668Б|p-n-p|0,5 Вт|>=200|50|5|0,1 А|<=15 нА (30 В)|125...250 (5 В; 2 мА)|<=7|<=6,5|<=10 (1кГц)|-
КТ668В|p-n-p|0,5 Вт|>=200|50|5|0,1 А|<=15 нА (30 В)|220...475 (5 В; 2 мА)|<=7|<=6,5|<=10(1кГц)|-
КТ680А|n-p-n|350 (85°С)|>=120|30|5|0,6 А (2* А)|<=10 (25 В)|85...300 (1 В; 0,5 А)|-|<=0,5|-|-
КТ681А|p-n-p|350 (85°C)|>=120|30|5|0,6 А (2* А)|<=10 (25 В)|85...300* (1 В; 0,5 А)|-|<=0,5|-|-
КТ682А-2|n-p-n|350|>=4,4 ГГц|10|1|50|<=1 (10 В)|40...45 (7 В; 2 мА)|<=0,9 (10 В)|>=7** (3,6 ГГц)|<=4 (3,6 ГГц)|-
КТ682Б-2|n-p-n|350|>=4,4 ГГц|10|1|50|<=1 (10 В)|80...120 (7 В; 2 мА)|<=0,9 (10 В)|>=7** (3,6 ГГц)|<=4 (3,6 ГГц)|-
КТ682А-5|n-p-n|350|>=4,4 ГГц|10|1|50|<=1 (10 В)|40...45 (7 В; 2 мА)|<=0,9 (10 В)|>=7** (3,6 ГГц)|4 (3,6 ГГц)|-
КТ682Б-5|n-p-n|350|>=4,4 ГГц|10|1|50|<=1 (10 В)|80...120 (7 В; 2 мА)|<=0,9 (10 В)|>=7** (3,6 ГГц)|<=4 (3,6 ГГц)|-
КТ683А|n-p-n|1,2 (8*) Вт|>=50|150* (3к)|7|1 А; 2* А|<=1 (90 В)|40...120* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ683Б|n-p-n|1,2 (8*) Вт|>=50|120* (3к)|7|1 А; 2* А|<=1 (90 В)|80...240* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ683В|n-p-n|1,2 (8*) Вт|>=50|120* (3к)|7|1 А; 2* А|<=1 (90 В)|40...120* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ683Г|n-p-n|1,2 (8*) Вт|>=50|100* (3к)|5|1 А; 2* А|<=1 (40 В)|40...120* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ683Д|n-p-n|1,2 (8*) Вт|>=50|60* (3к)|5|1 А; 2* А|<=1 (40 В)|80...240* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ683Е|n-p-n|1,2 (8*) Вт|>=50|60* (3к)|5|1 А; 2* А|<=1 (40 В)|160...480* (10 В; 0,15 А)|<=15 (10 В)|<=3; <=6,6*|<=8*|<=500**
КТ684А|p-n-p|0,8 Вт|>=40|45* (1к)|5|1 А (1,5* А)|<=0,1 (30 В)|40...250* (2 В; 0,15 А)|<=50 (10 В)|<=1|-|-
КТ684Б|p-n-p|0,8 Вт|>=40|60* (1к)|5|1 А (1,5* А)|<=0,1 (30 В)|40...160* (2 В; 0,15 А)|<=50(10 В)|<=1|-|-
КТ684В|p-n-p|0,8 Вт|>=40|100* (1к)|5|1 А (1,5* А)|<=0,1 (30 В)|40...160* (2 В; 0,15 А)|<=50(10 В)|<=1|-|-
КТ684Г|p-n-p|0,8 Вт|>=40|30|5|1 А (1,5* А)|<=0,1 (30 В)|180...400 (2 В; 0,15 А)|<=50 (10 В)|<=1|-|-
КТ685А|p-n-p|0,6 Вт|>=200|60|5|0,6 А|<=0,02 (50 В)|40...120* (10 В; 0,15 А)|<=8 (10 В)|<=2,6|-|<=80*
КТ685Б|p-n-p|0,6 Вт|>=200|60|5|0,6 А|<=0,01 (50 В)|40...120* (10 В; 0,15 А)|<=8 (10 В)|<=2,6|-|<=80*
КТ685В|p-n-p|0,6 Вт|>=200|60|5|0,6 А|<=0,02 (50 В)|100...300* (10 В; 0,15 А)|<=8 (10 В)|<=2,6|-|<=80*
КТ685Г|p-n-p|0,6 Вт|>=200|60|5|0,6 А|<=0,01 (50 В)|100...300* (10 В; 0,15 А)|<=8 (10 В)|<=2,6|-|<=80*
КТ685Д|p-n-p|0,6 Вт|>=350|30|5|0,6 А|<=0,02 (25 В)|70...200* (1 В; 0,15 А)|<=12 (10 В)|<=2,6|-|<=80*
КТ685Е|p-n-p|0,6 Вт|>=250|30|5|0,6 А|<=0,02 (25 В)|40...120* (1 В; 0,3 А)|<=12 (10 В)|<=2,6|-|<=150
КТ685Ж|p-n-p|0,6 Вт|>=250|30|5|0,6 А|<=0,02 (25 В)|100...300* (1 В; 0,3 А)|<=12 (10 В)|<=2,6|-|<=150
КТ686А|p-n-p|0,625 (1,4*) Вт|>=100|50* (0)|5|0,8 А (1,5* А)|<=0,1 (45 В)|100...250* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686Б|p-n-p|0,625 (1,4*) Вт|>=100|50* (0)|5|0,8 А (1,5* А)|<=0,1 (45 В)|160...400* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686В|p-n-p|0,625 (1,4*) Вт|>=100|50* (0)|5|0,8 А (1,5* А)|<=0,1 (45 В)|250...630* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686Г|p-n-p|0,625 (1,4*) Вт|>=100|30* (0)|5|0,8 А (1,5* А)|<=0,1 (25 В)|100...250* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686Д|p-n-p|0,625 (1,4*) Вт|>=100|30* (0)|5|0,8 А (1,5* А)|<=0,1 (25 В)|160...400* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686Е|p-n-p|0,625 (1,4*) Вт|>=100|30* (0)|5|0,8 А (1,5* А)|<=0,1 (25 В)|250...630* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ686Ж|p-n-p|0,625 (1,4*) Вт|>=100|30* (0)|5|0,8 А (1,5* А)|<=0,1 (25 В)|100...250* (1 В; 0,1 А)|<=12 (10 В)|<=1,4|-|-
КТ692А|p-n-p|1 Вт|>=200|40|5|1 A|<=0,1 (30 B)|>=20 (1 В; 0,5 А)|<=20 (30 В)|<=1|-|<=90**
КТ695А|n-p-n|450|>=300|30|4|30|<=0,1 (30 В)|50...200 (10 В; 1 мА)|<=1,5 (10 В)|-|-|-
КТ698А|n-p-n|600|>=150|90*|4|2 A|<=20* (90 B)|>=20* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698Б|n-p-n|600|>=150|70*|4|2 A|<=20* (70 B)|>=20* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698В|n-p-n|600|>=150|50*|4|2 A|<=20* (50 B)|>=50* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698Г|n-p-n|600|>=150|30*|4|2 A|<=20* (30 B)|>=50* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698Д|n-p-n|600|>=150|12*|4|2 A|<=20* (12 B)|>=50* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698Е|n-p-n|600|>=150|12*|4|2 A|<=20* (12 B)|>=50* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698Ж|n-p-n|600|>=150|120*|4|2 A|<=20* (120 B)|>=30* (5 В; 1 А)|<=74 (5 В)|<=0,12|-|<=245*
КТ698И|n-p-n|600|>=150|160*|4|2 A|<=20* (160 B)|>=30* (5 В; 1 А)|<=74 (5 В)|<=0,15|-|<=245*
КТ698К|n-p-n|600|>=150|200*|4|2 A|<=20* (200 B)|>=30* (5 В; 1 А)|<=74 (5 В)|<=0,17|-|<=245*
П701|n-p-n|10* Вт (50°С)|>=20*|40|2 (80°C)|0,5 A|<=0,1 мА (40 B)|10...40* (10 В; 0,5 А)|-|<=14|-|-
П701А|n-p-n|10* Вт (50°С)|>=20*|60|2 (80°C)|0,5 A|<=0,1 мА (60 B)|15...60* (10 В; 0,2 А)|-|-|-|-
П701Б|n-p-n|10* Вт (50°С)|>=20*|35|2 (80°C)|0,5 A|<=0,1 мА (35 B)|30...100* (10 В; 0,2 А)|-|-|-|-
П702|n-p-n|40* Вт (50°С)|>=4|60*|3|2 A|<=5 мА (70 B)|>=25* (10 В; 1,1 А)|-|<=2,5|-|-
П702А|n-p-n|40* Вт (50°С)|>=4|60*|3|2 A|<=5 мА (70 B)|>=10* (10 В; 1,1 А)|-|<=4|-|-
КТ704А|n-p-n|15* Вт (50°С)|>=3|500* (1000 имп.)|4|2,5 (4*) A|<=5* мА (1000 B)|10...100* (15 В; 1 А)|<=50 (20 В)|<=2,5|-|-
КТ704Б|n-p-n|15* Вт (50°С)|>=3|400* (700 имп.)|4|2,5 (4*) A|<=5* мА (700 B)|10...100* (15 В; 1 А)|<=50 (20 В)|<=2,5|-|-
КТ704В|n-p-n|15* Вт (50°С)|>=3|400* (500 имп.)|4|2,5 (4*) A|<=5* мА (500 B)|>=10* (15 В; 1 А)|<=50 (20 В)|<=2,5|-|-
КТ710А|n-p-n|50* Вт (50°С)|-|3000* (0,01к)|5|5 (7,5*) A|<=2 мА (3000 B)|>=3,5 (10 В; 4 А)|-|<=0,9|-|30000*
КТ712А|p-n-p|1,5 (50*) Вт|>=3|200|5|10 (15*) А|<=1 мА (200 В)|>=500* (5 В; 2 А)|-|<=1|-|-
КТ712Б|p-n-p|1,5 (50*) Вт|>=3|160|5|10 (15*) А|<=1 мА (160 В)|>=400* (5 В; 2 А)|-|<=1|-|-
КТ715А|n-p-n|75* Вт (50°С)|>=0,45|5000|5|2 А|<=1 мА (5000 В)|>=15 (10 В; 0,2 А)|-|<=15|-|<=27500*
КТ716А|n-p-n|1 Вт (60 Вт*)|>=6|100|5|8 А|<=0,1 мА|>=750 (5 В; 5 А)|150 (5 В)|<=0,4|-|<=7000*
КТ716Б|n-p-n|1 Вт (60 Вт*)|>=6|80|5|8 А|<=0,1 мА|>=750 (5 В; 5 А)|150 (5 В)|<=0,4|-|<=7000*
КТ716В|n-p-n|1 Вт (60 Вт*)|>=6|60|5|8 А|<=0,1 мА|>=750 (5 В; 5 А)|150 (5 В)|<=0,4|-|<=7000*
КТ716Г|n-p-n|1 Вт (60 Вт*)|>=6|45|5|8 А|<=0,1 мА|>=750 (5 В; 5 А)|150 (5 В)|<=0,4|-|<=7000*
КТ719А|n-p-n|10* Вт|>=3|120|5|1,5 А|-|>=20 (2 В; 0,15 А)|-|<=1,2|-|-
КТ720А|p-n-p|10* Вт|>=3|120|5|1,5 А|-|>=20 (2 В; 0,15 А)|-|<=1,2|-|-
КТ721А|n-p-n|25* Вт|>=3|120|5|1,5 А|-|>=20 (2 В; 1 А)|-|<=0,6|-|-
КТ722А|p-n-p|25* Вт|>=3|120|5|1,5 А|-|>=20 (2 В; 1 А)|-|<=0,6|-|-
КТ723А|n-p-n|60* Вт|>=3|120|5|10 А|-|>=20 (5 В; 5 А)|-|<=0,4|-|-
КТ724А|p-n-p|60* Вт|>=3|120|5|10 А|-|>=20 (5 В; 5 А)|-|<=0,4|-|-
КТ728А|n-p-n|115* Вт|>=2,5|60|7|15 А|<=0,7 мА (60 В)|20...70 (5 В; 4 А)|-|<=0,3|-|-
