Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ358А|n-p-n|100 (50°C)|>=80|15|4|30 (60*)|<=10 (15 B)|10...100* (5,5 В; 20 мА)|<=5 (10 В)|<=40|-|<=500
КТ358Б|n-p-n|100 (50°C)|>=120|30|4|30 (60*)|<=10 (30 B)|25...100* (5,5 В; 20 мА)|<=5 (10 В)|<=40|-|<=500
КТ358В|n-p-n|100 (50°C)|>=120|15|4|30 (60*)|<=10 (15 B)|50...280* (5,5 В; 20 мА)|<=5 (10 В)|<=40|-|<=500
КТ359А-3|n-p-n|15|>=300|15* (3к)|3,5|20|<=0,5 (15 B)|30...90 (1 В; 10 мА)|<=5 (5 В)|<=70|<=6 (20 МГц)|<=100
КТ359Б-3|n-p-n|15|>=300|15* (3к)|3,5|20|<=0,5 (15 B)|50...150(1 В; 10 мА)|<=5 (5 В)|<=70|<=6 (20 МГц)|<=100
КТ359В-3|n-p-n|15|>=300|15* (3к)|3,5|20|<=0,5 (15 B)|70...280(1 В; 10 мА)|<=5 (5 В)|<=70|<=6 (20 МГц)|<=100
КТ360А-1|p-n-p|10 (55°C)|>=300|25|5|20 (75*)|<=1 (25 B)|20...70(2 В; 10 мА)|<=5 (5 В)|<=35|-|<=450; <=100*
КТ360Б-1|p-n-p|10 (55°C)|>=400|20|4|20 (75*)|<=1 (20 B)|40...140 (2 В; 10 мА)|<=5 (5 В)|<=35|-|<=450; <=200*
КТ360В-1|p-n-p|10 (55°C)|>=400|20|4|20 (75*)|<=1 (20 B)|80...240 (2 В; 10 мА)|<=5 (5 В)|<=35|-|<=450; <=200*
КТ361А|p-n-p|150 (35°C)|>=250|25|4|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
КТ361А1|p-n-p|150|>=150|25|4|100|<=1 (10 B)|20...90 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
